"ensembl_gene_id","hgnc_symbol","description","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000000005","TNMD","tenomodulin [Source:HGNC Symbol;Acc:HGNC:17757]",53.8552875944317,1.05334863736765,0.228176855486819,4.61636932948486,3.90511714612642e-06,6.5018380885176e-05
"ENSG00000001626","CFTR","CF transmembrane conductance regulator [Source:HGNC Symbol;Acc:HGNC:1884]",28.7632983865236,1.19971556609457,0.200847442576348,5.97326782310669,2.3254765885716e-09,1.38041040575341e-07
"ENSG00000003249","DBNDD1","dysbindin domain containing 1 [Source:HGNC Symbol;Acc:HGNC:28455]",2114.77889086171,-1.00437216746383,0.111452115081333,-9.01169230149542,2.02900934650624e-19,1.97889281564753e-16
"ENSG00000004799","PDK4","pyruvate dehydrogenase kinase 4 [Source:HGNC Symbol;Acc:HGNC:8812]",4025.7035306976,1.03230990316196,0.170745681135801,6.04589173966236,1.48585848466655e-09,9.3645090797757e-08
"ENSG00000006377","DLX6","distal-less homeobox 6 [Source:HGNC Symbol;Acc:HGNC:2919]",12.2752027509953,-2.37282256900239,0.269294030287621,-8.81127058950426,1.23735288941025e-18,1.04938284612332e-15
"ENSG00000010438","PRSS3","serine protease 3 [Source:HGNC Symbol;Acc:HGNC:9486]",15.1357754076008,-1.52540750114466,0.254266642589831,-5.9992434933959,1.98238907524961e-09,1.21028110490826e-07
"ENSG00000011677","GABRA3","gamma-aminobutyric acid type A receptor subunit alpha3 [Source:HGNC Symbol;Acc:HGNC:4077]",10.8513141134246,-1.22167208179981,0.376960454159226,-3.2408494533588,0.00119174103339864,0.00708074949664144
"ENSG00000012817","KDM5D","lysine demethylase 5D [Source:HGNC Symbol;Acc:HGNC:11115]",0.859837092808451,-1.06885088677894,0.387289327106633,-2.75982530880498,0.00578322769304731,0.0249381318405175
"ENSG00000013293","SLC7A14","solute carrier family 7 member 14 [Source:HGNC Symbol;Acc:HGNC:29326]",4.61110668333652,1.01470754457395,0.217532494984831,4.66462513862448,3.09180136059122e-06,5.32291944745739e-05
"ENSG00000015520","NPC1L1","NPC1 like intracellular cholesterol transporter 1 [Source:HGNC Symbol;Acc:HGNC:7898]",84.9596550604246,-1.42727552536894,0.210233148723291,-6.78901274150405,1.12903471273607e-11,1.56191142600212e-09
"ENSG00000019186","CYP24A1","cytochrome P450 family 24 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:2602]",45.5590933359221,-1.66488203624846,0.255781280490971,-6.50900657410394,7.56494125275338e-11,7.567268926985e-09
"ENSG00000019505","SYT13","synaptotagmin 13 [Source:HGNC Symbol;Acc:HGNC:14962]",2929.73128780128,-1.29865044888316,0.295627772762453,-4.39285672231706,1.11870858332284e-05,0.00015564571773391
"ENSG00000026559","KCNG1","potassium voltage-gated channel modifier subfamily G member 1 [Source:HGNC Symbol;Acc:HGNC:6248]",123.732794501063,-1.29832224963795,0.242380302619124,-5.356550163559,8.48259572457962e-08,2.72140645071793e-06
"ENSG00000029559","IBSP","integrin binding sialoprotein [Source:HGNC Symbol;Acc:HGNC:5341]",120.277237336254,-1.11445671473347,0.224247949117842,-4.96975209413319,6.703855851483e-07,1.49198531249372e-05
"ENSG00000036473","OTC","ornithine transcarbamylase [Source:HGNC Symbol;Acc:HGNC:8512]",2.25753796434176,1.55802010407693,0.332461526970853,4.68631699514969,2.7816531743195e-06,4.86191100522188e-05
"ENSG00000039068","CDH1","cadherin 1 [Source:HGNC Symbol;Acc:HGNC:1748]",21651.522180194,-1.8684074549973,0.151092878452499,-12.3659531417604,3.99444833226704e-35,1.94789272923002e-31
"ENSG00000047457","CP","ceruloplasmin [Source:HGNC Symbol;Acc:HGNC:2295]",3103.87863712843,-1.69138578244172,0.267728073972486,-6.31755107839582,2.65740622350504e-10,2.21046336015733e-08
"ENSG00000054598","FOXC1","forkhead box C1 [Source:HGNC Symbol;Acc:HGNC:3800]",1224.6437721718,-1.1686116506885,0.205978919397931,-5.67345267226524,1.39947777582011e-08,6.0595368468695e-07
